id,manufacturer,aircraft_name,airline_name
356e98fe,Boeing,Boeing 787-9,All Nippon Airways
356ebb38,Boeing,Boeing 777-200LR,Fedex
356ef3ec,Boeing,Boeing 777-300ER,Philippine Airlines
356efb0f,Boeing,Boeing 787-10,British Airways
356efe4d,Airbus,Airbus A350-900,Turkish Airlines
356f13f3,Boeing,Boeing 777-200LR,Lufthansa Cargo
356f3554,Boeing,Boeing 787-8,Jetstar
356f74ae,Embraer,Embraer 190,Azerbaijan Airlines
356f8066,Airbus,Airbus A330-300,Malaysia Airlines
356f9cd1,Boeing,Boeing 737 MAX 8,Southwest Airlines
