origin_airport_name,destination_airport_name,count
Cincinnati Northern Kentucky International Airport,Narita International Airport,18
Rome–Fiumicino Leonardo da Vinci International Airport,Washington Dulles International Airport,18
Ben Gurion International Airport,John F Kennedy International Airport,18
Zaragoza Airport,John F Kennedy International Airport,18
Phuket International Airport,Incheon International Airport,36
Carrasco General Cesáreo L. Berisso International Airport,Adolfo Suárez Madrid–Barajas Airport,18
Zaragoza Airport,General Felipe Ángeles International Airport,18
Leipzig/Halle Airport,Cincinnati Northern Kentucky International Airport,32
