origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,7
Cape Town International Airport,İstanbul Airport,7
Mohammed V International Airport,Miami International Airport,7
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,7
Taiwan Taoyuan International Airport,İstanbul Airport,7
Chicago O'Hare International Airport,Indira Gandhi International Airport,7
Tribhuvan International Airport,Dubai International Airport,7
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,7
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,7
Tenerife Sur Airport,Amsterdam Airport Schiphol,4
